	#SampleID	Taxonomy	GROUP	Subgroup	Value	Total	RelativeAbundance
58	10A	g_Corynebacterium	OB-BPD/DS 	MAM-J	1682	92085	0.0182657327469186
146	10A	g_Bacteroides	OB-BPD/DS 	MAM-J	2	92085	2.171906390834555e-05
167	10A	g_Prevotella	OB-BPD/DS 	MAM-J	0	92085	0.0
177	10A	g_dgA-11 gut group	OB-BPD/DS 	MAM-J	0	92085	0.0
220	10A	g_Campylobacter	OB-BPD/DS 	MAM-J	73	92085	0.0007927458326546
222	10A	g_Helicobacter	OB-BPD/DS 	MAM-J	14394	92085	0.1563121029483629
304	10A	g_Allobaculum	OB-BPD/DS 	MAM-J	0	92085	0.0
320	10A	g_Aerococcus	OB-BPD/DS 	MAM-J	0	92085	0.0
334	10A	g_Lactobacillus	OB-BPD/DS 	MAM-J	1673	92085	0.018167996959331
360	10A	g_Jeotgalicoccus	OB-BPD/DS 	MAM-J	1	92085	1.0859531954172776e-05
397	10A	g_Coprococcus	OB-BPD/DS 	MAM-J	0	92085	0.0
421	10A	g_Blautia	OB-BPD/DS 	MAM-J	1478	92085	0.0160503882282673
426	10A	g_Lachnoclostridium	OB-BPD/DS 	MAM-J	1	92085	1.0859531954172776e-05
432	10A	g_Lachnospiraceae NK4A136 group	OB-BPD/DS 	MAM-J	4	92085	4.34381278166911e-05
438	10A	g_Marvinbryantia	OB-BPD/DS 	MAM-J	0	92085	0.0
461	10A	g_Colidextribacter	OB-BPD/DS 	MAM-J	0	92085	0.0
471	10A	g_UCG-005	OB-BPD/DS 	MAM-J	2	92085	2.171906390834555e-05
522	10A	g_Romboutsia	OB-BPD/DS 	MAM-J	0	92085	0.0
557	10A	g_Fusobacterium	OB-BPD/DS 	MAM-J	5	92085	5.429765977086388e-05
584	10A	g_Candidatus Saccharimonas	OB-BPD/DS 	MAM-J	10	92085	0.0001085953195417
734	10A	g_Escherichia-Shigella	OB-BPD/DS 	MAM-J	0	92085	0.0
735	10A	g_Klebsiella	OB-BPD/DS 	MAM-J	0	92085	0.0
