Phylum	10A	10B	10C	10D	10F	11A	11B	11C	11D	11F	12A	12B	12C	12D	12F	13A	13C	13D	13F	14A	14B	14C	14D	14F	15A	15B	15C	15D	16A	16B	16C	16D	16F	18A	18B	18C	18D	18F	19A	19B	19C	19D	20A	20B	20C	20D	20F	21A	21B	21C	21F	22A	22B	22C	22D	22F	23A	23B	23C	23D	23F	24A1	24A2	24B	24D	24F	25A	25B	25C	25F	26A	26B	26C	26D	26F	27A	27B	27C	27D	28A	28B	28C	28D	28F	29A	29C	29D1	29D2	30A	30B	30C	30D	30F	31A	31B	31C	31D	31F	32A	32B	32C	32D1	32D2	32F	33A	33B	33C	33D	33F	34A	34B	34C	34D	35A	35B	35C	35D	3A	3B	3C	3D	3F	4A	4B	4C	4D	4F	6A	6B	6C	6D	6F	7A	7B	7C	7D
Archaea;Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota	0	0	92	0	448	10	954	2835	1582	5124	0	2805	614	1	438	535	183	357	301	0	0	9885	1	782	0	49	3	0	45	2520	627	0	1573	0	0	1	6	1	1659	29	80	1096	446	474	570	46	537	74	890	3151	3006	554	35	151	263	161	0	545	164	906	1750	3165	493	766	0	4783	17	0	960	691	0	4	1382	195	7660	142	1	108	0	27	5	19	0	43	869	258	801	361	332	122	92	418	6300	0	3424	226	9	2260	2294	72	1479	3035	1230	1558	501	16	3798	450	1164	452	49	13	834	34	187	216	125	0	0	434	0	772	0	0	4	8	1605	4	9	241	3	544	29	72	0	29
Archaea;Halobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Thermoplasmatota	0	289	67	0	2	0	0	0	0	0	0	25	23	1	16	2	55	0	7	0	0	18	0	23	0	0	0	0	0	51	81	0	172	0	0	0	0	0	0	0	0	0	0	0	42	1	37	0	0	44	0	91	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	10	0	1	0	0	9	0	0	0	9	0	5	0	266	0	0	0	0	8	9	92	0	17	130	0	1	0	0	0	0	0	78	0	22	813	0	371	0	2	5	0	12	0	127	0	0	0	19	0	13	0	0	11	0	29	0	0	1	0	0	30	0	0	0
Bacteria;?	8	204	128	7	59	47	207	58	388	282	21	2212	985	76	226	20	4625	39	440	145	41	427	70	319	1	197	730	61	72	735	1214	1	774	150	41	300	43	265	11	847	0	117	70	44	1179	115	632	80	39	2490	184	61	2	259	73	2181	11	64	11	0	87	66	91	63	0	101	140	2856	1308	20	55	104	42974	329	243	9	3	424	86	30	38	2682	6	44	2	7628	45	38	0	2714	3394	87	1128	186	74	53	1	91	43	362	504	6	16	350	6	73	589	284	179	41	0	25	0	662	17	4228	3	38	57	20	0	123	15	9	5159	15	390	1	109	1326	125	92	755	41	0	14
Bacteria;Acidobacteriota	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0	0	0	591	0	0	0	0	0	0	0	0	0	1044	0	2	65	0	12	0	0	607	0	0	1	0	0	0	33	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	1117	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria	195	0	27	582	54	120	324	506	2630	160	26	65	46	1360	28	1866	421	734	53	41	72	110	32	47	259	564	595	3224	1097	54	44	1996	64	296	818	833	1222	259	230	1431	554	1008	1184	9844	79	236	37	4789	40933	873	291	384	769	1649	831	27	17	1594	1028	441	182	1062	8491	367	586	92	521	45	216	1590	20598	26	26	339	95	5168	27963	72	172	44	925	58	768	202	1052	8	250	249	174	1609	81	488	138	49	451	45	1983	453	547	1125	34	1273	708	55	14690	3070	10	193	23	426	1096	26	2	409	6609	0	1	21897	2679	43	16991	1310	1284	1305	825	815	61	2114	1229	336	1479	279	1	9	85	126
Bacteria;Actinobacteriota	1928	693	1290	2039	1754	1111	7181	6810	23879	3777	62	690	1326	1296	1116	5579	1051	6892	2715	725	285	3431	761	3957	1281	2585	154	506	6923	3903	2237	10332	1832	798	6885	1191	3497	2010	18123	5755	1917	23016	3302	6212	1500	710	1537	3285	10250	2593	8050	12958	3502	6791	13413	2256	2114	9524	2431	51648	2129	10343	6759	2012	2710	1384	7940	379	612	4716	5359	1262	861	1052	4321	18109	10140	711	1010	2827	1392	576	3863	280	8165	1542	11781	13194	1693	2155	397	1151	1495	254	3696	1039	3041	8123	7910	2219	1943	8584	9179	1338	33523	12298	762	13209	617	2375	5372	260	3062	1254	11648	1192	543	20089	8564	747	6495	9227	395	425	296	626	902	395	1129	1314	1147	3449	384	28204	3283	18838
Bacteria;Bacteroidetes	0	362	511	0	1264	20	72	2	21	27	0	81	47	3	98	11	2770	2	233	0	0	112	0	232	5	11	2	8	65	249	238	12	167	3	4	11	12	5	0	1	8	1458	91	61	267	46	169	46	0	123	1263	0	0	0	1	72	55	2	1	0	60	0	0	82	0	288	0	0	26	5	0	0	190	124	159	0	0	1011	0	3	13	13	0	10	3	153	0	5	0	0	0	212	26	0	0	20	0	1746	0	0	296	0	5	463	0	1	72	0	73	0	11	0	0	19	0	103	0	0	41	9	1	35	42	63	53	489	65	86	8	200	11	542	69	0	0	0
Bacteria;Bacteroidota	44	41640	35256	84	18060	2247	3519	9084	6899	8833	26136	21041	10877	8601	49311	5445	29192	3583	48736	301	5236	43365	19115	52974	48041	9499	25727	7287	4971	34752	42060	5581	54239	40217	32821	39309	34996	24811	1499	1954	746	8458	17585	29481	20851	6830	28156	19683	7117	24457	45649	6170	361	2852	910	87021	203	1663	10109	7379	11590	7702	4495	5739	1421	37882	3894	456	21622	8389	1631	126	12634	2228	6692	2157	745	34252	1332	401	380	14839	709	46285	7936	45442	11044	577	871	373	3799	9140	61035	397	7178	4437	1684	34414	21497	1519	10993	3664	9173	29722	1959	549	67930	3658	91085	36404	394	126	7095	2826	10287	42423	3290	2337	140	91433	10970	7348	67071	77088	72534	47196	67099	36898	42400	50144	43187	60067	10896	105	107	208
Bacteria;Bdellovibrionota	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	75	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Caldatribacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Caldisericota	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Campylobacterota	14482	7901	11503	7346	1214	133399	13799	4699	3934	1846	1092	4122	26277	17257	1452	7443	8243	115445	5331	188	98	2535	502	1919	9270	1097	4808	719	77236	74350	23957	1664	13526	14297	16034	15775	9806	3950	6969	3461	76636	5972	8699	4958	19811	7712	7677	6159	32213	5345	8672	5095	110710	4870	6394	4738	197456	18250	127265	15022	4073	22650	27688	12193	73067	1312	4105	178260	118694	10280	3057	178132	41835	151875	2206	80704	23467	37190	87402	184783	164714	129597	36949	1833	110464	32122	84890	162837	116382	23423	170430	10897	1953	174319	8156	157604	4110	5622	876	56308	16630	4742	4598	1356	1103	13923	12199	73152	5578	51777	132464	180324	70349	130627	18286	29767	84334	2442	51581	327	21051	2392	45290	40318	46049	51298	1833	2129	7447	14743	5951	8699	130700	10106	154211	2753
Bacteria;Chloroflexi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	338	1	0	0	0	0	0	89	0	0	592	0	0	0	0	0	0	0	0	0	366	0	0	0	0	116	0	0	1603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	89	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cloacimonadota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
