OTU	Domain	Phylum	Class	Order	Family	Genus	Species
ASV8476	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella sp. YIT 12072
ASV8483	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dielma	?
ASV8432	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Epulopiscium	?
ASV8439	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
ASV8430	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
ASV8417	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	?
ASV8389	Bacteria	Firmicutes	Clostridia	Eubacteriales	Anaerofustaceae	Anaerofustis	?
ASV8379	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	?	?
ASV8426	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosaetaceae	Methanosaeta	?
ASV8371	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
ASV8341	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	?
ASV8354	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum	?
ASV8286	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	?
ASV8288	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	?	?
ASV8269	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis nikkonensis
ASV8137	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	?
ASV8214	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	?	?
ASV8131	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	?
ASV8126	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus hyointestinalis
ASV8111	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	uncultured Lachnospiraceae bacterium
ASV8117	Bacteria	Firmicutes	Bacilli	?	?	?	?
ASV8110	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	?
ASV8125	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter sp. MIT 11-5569
ASV8100	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	uncultured Clostridium sp.
ASV8097	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Jeotgalicoccus	Jeotgalicoccus sp. ChroAq 89
ASV8105	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	?
ASV8073	Bacteria	Firmicutes	Clostridia	Christensenellales	?	?	?
ASV8082	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	?
ASV8070	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis
ASV8058	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
ASV8067	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
ASV8029	Bacteria	Firmicutes	Clostridia	Christensenellales	?	?	?
ASV8033	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] nodatum group	?
ASV8019	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	?
ASV7976	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera	?
ASV8034	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
ASV7970	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
ASV7936	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	?	?
