	#SampleID	Taxonomy	GROUP	Subgroup	Value	Total	RelativeAbundance
0	10A	Archaea|p_Crenarchaeota	OB-BPD/DS 	MAM-J	0	92085	0.0
1	10A	Archaea|p_Euryarchaeota	OB-BPD/DS 	MAM-J	0	92085	0.0
2	10A	Archaea|p_Halobacterota	OB-BPD/DS 	MAM-J	0	92085	0.0
3	10A	Archaea|p_Thermoplasmatota	OB-BPD/DS 	MAM-J	0	92085	0.0
4	10A	Bacteria	OB-BPD/DS 	MAM-J	8	92085	8.68762556333822e-05
5	10A	Bacteria|p_Acidobacteriota	OB-BPD/DS 	MAM-J	0	92085	0.0
6	10A	Bacteria|p_Actinobacteria	OB-BPD/DS 	MAM-J	195	92085	0.0021176087310636913
7	10A	Bacteria|p_Actinobacteriota	OB-BPD/DS 	MAM-J	1928	92085	0.02093717760764511
8	10A	Bacteria|p_Bacteroidetes	OB-BPD/DS 	MAM-J	0	92085	0.0
9	10A	Bacteria|p_Bacteroidota	OB-BPD/DS 	MAM-J	44	92085	0.0004778194059836021
10	10A	Bacteria|p_Bdellovibrionota	OB-BPD/DS 	MAM-J	0	92085	0.0
11	10A	Bacteria|p_Caldatribacteriota	OB-BPD/DS 	MAM-J	0	92085	0.0
12	10A	Bacteria|p_Caldisericota	OB-BPD/DS 	MAM-J	0	92085	0.0
13	10A	Bacteria|p_Campylobacterota	OB-BPD/DS 	MAM-J	14482	92085	0.15726774176033012
14	10A	Bacteria|p_Chloroflexi	OB-BPD/DS 	MAM-J	0	92085	0.0
15	10A	Bacteria|p_Cloacimonadota	OB-BPD/DS 	MAM-J	0	92085	0.0
16	10A	Bacteria|p_Cyanobacteria	OB-BPD/DS 	MAM-J	0	92085	0.0
17	10A	Bacteria|p_Dadabacteria	OB-BPD/DS 	MAM-J	0	92085	0.0
18	10A	Bacteria|p_Deferribacterota	OB-BPD/DS 	MAM-J	0	92085	0.0
19	10A	Bacteria|p_Deinococcota	OB-BPD/DS 	MAM-J	0	92085	0.0
20	10A	Bacteria|p_Desulfobacterota	OB-BPD/DS 	MAM-J	0	92085	0.0
21	10A	Bacteria|p_Elusimicrobiota	OB-BPD/DS 	MAM-J	0	92085	0.0
22	10A	Bacteria|p_Entotheonellaeota	OB-BPD/DS 	MAM-J	0	92085	0.0
23	10A	Bacteria|p_Fibrobacteres	OB-BPD/DS 	MAM-J	0	92085	0.0
24	10A	Bacteria|p_Fibrobacterota	OB-BPD/DS 	MAM-J	0	92085	0.0
25	10A	Bacteria|p_Firmicutes	OB-BPD/DS 	MAM-J	57500	92085	0.6244230873649346
26	10A	Bacteria|p_Fusobacteria	OB-BPD/DS 	MAM-J	1921	92085	0.0208611608839659
27	10A	Bacteria|p_Fusobacteriota	OB-BPD/DS 	MAM-J	5	92085	5.429765977086388e-05
28	10A	Bacteria|p_Gemmatimonadota	OB-BPD/DS 	MAM-J	0	92085	0.0
29	10A	Bacteria|p_Latescibacterota	OB-BPD/DS 	MAM-J	0	92085	0.0
30	10A	Bacteria|p_Methylomirabilota	OB-BPD/DS 	MAM-J	0	92085	0.0
31	10A	Bacteria|p_Myxococcota	OB-BPD/DS 	MAM-J	0	92085	0.0
32	10A	Bacteria|p_NB1-j	OB-BPD/DS 	MAM-J	0	92085	0.0
33	10A	Bacteria|p_Nitrospirota	OB-BPD/DS 	MAM-J	0	92085	0.0
34	10A	Bacteria|p_Patescibacteria	OB-BPD/DS 	MAM-J	52	92085	0.0005646956616169843
35	10A	Bacteria|p_Planctomycetota	OB-BPD/DS 	MAM-J	0	92085	0.0
36	10A	Bacteria|p_Proteobacteria	OB-BPD/DS 	MAM-J	14929	92085	0.16212195254384537
37	10A	Bacteria|p_Spirochaetota	OB-BPD/DS 	MAM-J	0	92085	0.0
38	10A	Bacteria|p_Synergistota	OB-BPD/DS 	MAM-J	0	92085	0.0
39	10A	Bacteria|p_Tenericutes	OB-BPD/DS 	MAM-J	0	92085	0.0
40	10A	Bacteria|p_Verrucomicrobia	OB-BPD/DS 	MAM-J	0	92085	0.0
41	10A	Bacteria|p_Verrucomicrobiota	OB-BPD/DS 	MAM-J	0	92085	0.0
42	10A	Bacteria|p_WPS-2	OB-BPD/DS 	MAM-J	0	92085	0.0
43	10A	Eukaryota	OB-BPD/DS 	MAM-J	0	92085	0.0
45	10B	Archaea|p_Crenarchaeota	OB-BPD/DS 	MAM-I	0	161661	0.0
46	10B	Archaea|p_Euryarchaeota	OB-BPD/DS 	MAM-I	0	161661	0.0
47	10B	Archaea|p_Halobacterota	OB-BPD/DS 	MAM-I	0	161661	0.0
48	10B	Archaea|p_Thermoplasmatota	OB-BPD/DS 	MAM-I	289	161661	0.001787691527331886
49	10B	Bacteria	OB-BPD/DS 	MAM-I	204	161661	0.001261899901646037
50	10B	Bacteria|p_Acidobacteriota	OB-BPD/DS 	MAM-I	0	161661	0.0
51	10B	Bacteria|p_Actinobacteria	OB-BPD/DS 	MAM-I	0	161661	0.0
52	10B	Bacteria|p_Actinobacteriota	OB-BPD/DS 	MAM-I	693	161661	0.004286748195297567
53	10B	Bacteria|p_Bacteroidetes	OB-BPD/DS 	MAM-I	362	161661	0.002239253747038556
54	10B	Bacteria|p_Bacteroidota	OB-BPD/DS 	MAM-I	41640	161661	0.2575760387477499
55	10B	Bacteria|p_Bdellovibrionota	OB-BPD/DS 	MAM-I	50	161661	0.00030928919157991103
56	10B	Bacteria|p_Caldatribacteriota	OB-BPD/DS 	MAM-I	0	161661	0.0
57	10B	Bacteria|p_Caldisericota	OB-BPD/DS 	MAM-I	0	161661	0.0
58	10B	Bacteria|p_Campylobacterota	OB-BPD/DS 	MAM-I	7901	161661	0.048873878053457546
59	10B	Bacteria|p_Chloroflexi	OB-BPD/DS 	MAM-I	0	161661	0.0
60	10B	Bacteria|p_Cloacimonadota	OB-BPD/DS 	MAM-I	0	161661	0.0
61	10B	Bacteria|p_Cyanobacteria	OB-BPD/DS 	MAM-I	58	161661	0.0003587754622326968
62	10B	Bacteria|p_Dadabacteria	OB-BPD/DS 	MAM-I	0	161661	0.0
63	10B	Bacteria|p_Deferribacterota	OB-BPD/DS 	MAM-I	0	161661	0.0
64	10B	Bacteria|p_Deinococcota	OB-BPD/DS 	MAM-I	0	161661	0.0
65	10B	Bacteria|p_Desulfobacterota	OB-BPD/DS 	MAM-I	345	161661	0.002134095421901386
66	10B	Bacteria|p_Elusimicrobiota	OB-BPD/DS 	MAM-I	0	161661	0.0
67	10B	Bacteria|p_Entotheonellaeota	OB-BPD/DS 	MAM-I	0	161661	0.0
68	10B	Bacteria|p_Fibrobacteres	OB-BPD/DS 	MAM-I	0	161661	0.0
69	10B	Bacteria|p_Fibrobacterota	OB-BPD/DS 	MAM-I	72	161661	0.0004453764358750719
70	10B	Bacteria|p_Firmicutes	OB-BPD/DS 	MAM-I	73598	161661	0.45526131843796586
71	10B	Bacteria|p_Fusobacteria	OB-BPD/DS 	MAM-I	501	161661	0.003099077699630709
72	10B	Bacteria|p_Fusobacteriota	OB-BPD/DS 	MAM-I	1521	161661	0.009408577207860895
73	10B	Bacteria|p_Gemmatimonadota	OB-BPD/DS 	MAM-I	0	161661	0.0
74	10B	Bacteria|p_Latescibacterota	OB-BPD/DS 	MAM-I	0	161661	0.0
75	10B	Bacteria|p_Methylomirabilota	OB-BPD/DS 	MAM-I	0	161661	0.0
76	10B	Bacteria|p_Myxococcota	OB-BPD/DS 	MAM-I	0	161661	0.0
77	10B	Bacteria|p_NB1-j	OB-BPD/DS 	MAM-I	0	161661	0.0
78	10B	Bacteria|p_Nitrospirota	OB-BPD/DS 	MAM-I	0	161661	0.0
79	10B	Bacteria|p_Patescibacteria	OB-BPD/DS 	MAM-I	23389	161661	0.1446792980372508
80	10B	Bacteria|p_Planctomycetota	OB-BPD/DS 	MAM-I	0	161661	0.0
81	10B	Bacteria|p_Proteobacteria	OB-BPD/DS 	MAM-I	7578	161661	0.046875869875851316
82	10B	Bacteria|p_Spirochaetota	OB-BPD/DS 	MAM-I	2056	161661	0.012717971557765943
83	10B	Bacteria|p_Synergistota	OB-BPD/DS 	MAM-I	0	161661	0.0
84	10B	Bacteria|p_Tenericutes	OB-BPD/DS 	MAM-I	0	161661	0.0
85	10B	Bacteria|p_Verrucomicrobia	OB-BPD/DS 	MAM-I	0	161661	0.0
86	10B	Bacteria|p_Verrucomicrobiota	OB-BPD/DS 	MAM-I	189	161661	0.0011691131441720637
87	10B	Bacteria|p_WPS-2	OB-BPD/DS 	MAM-I	0	161661	0.0
88	10B	Eukaryota	OB-BPD/DS 	MAM-I	0	161661	0.0
90	10C	Archaea|p_Crenarchaeota	OB-BPD/DS 	MAMLI	0	169074	0.0
91	10C	Archaea|p_Euryarchaeota	OB-BPD/DS 	MAMLI	92	169074	0.0005441404355489313
92	10C	Archaea|p_Halobacterota	OB-BPD/DS 	MAMLI	0	169074	0.0
93	10C	Archaea|p_Thermoplasmatota	OB-BPD/DS 	MAMLI	67	169074	0.0003962761867584608
94	10C	Bacteria	OB-BPD/DS 	MAMLI	128	169074	0.0007570649538072087
95	10C	Bacteria|p_Acidobacteriota	OB-BPD/DS 	MAMLI	0	169074	0.0
96	10C	Bacteria|p_Actinobacteria	OB-BPD/DS 	MAMLI	27	169074	0.00015969338869370808
97	10C	Bacteria|p_Actinobacteriota	OB-BPD/DS 	MAMLI	1290	169074	0.0076297952375882746
98	10C	Bacteria|p_Bacteroidetes	OB-BPD/DS 	MAMLI	511	169074	0.0030223452452772157
99	10C	Bacteria|p_Bacteroidota	OB-BPD/DS 	MAMLI	35256	169074	0.20852407821427305
100	10C	Bacteria|p_Bdellovibrionota	OB-BPD/DS 	MAMLI	0	169074	0.0
101	10C	Bacteria|p_Caldatribacteriota	OB-BPD/DS 	MAMLI	0	169074	0.0
102	10C	Bacteria|p_Caldisericota	OB-BPD/DS 	MAMLI	0	169074	0.0
103	10C	Bacteria|p_Campylobacterota	OB-BPD/DS 	MAMLI	11503	169074	0.06803529815347126
104	10C	Bacteria|p_Chloroflexi	OB-BPD/DS 	MAMLI	0	169074	0.0
105	10C	Bacteria|p_Cloacimonadota	OB-BPD/DS 	MAMLI	0	169074	0.0
106	10C	Bacteria|p_Cyanobacteria	OB-BPD/DS 	MAMLI	48	169074	0.00028389935767770327
107	10C	Bacteria|p_Dadabacteria	OB-BPD/DS 	MAMLI	0	169074	0.0
108	10C	Bacteria|p_Deferribacterota	OB-BPD/DS 	MAMLI	0	169074	0.0
109	10C	Bacteria|p_Deinococcota	OB-BPD/DS 	MAMLI	0	169074	0.0
110	10C	Bacteria|p_Desulfobacterota	OB-BPD/DS 	MAMLI	375	169074	0.0022179637318570566
111	10C	Bacteria|p_Elusimicrobiota	OB-BPD/DS 	MAMLI	7	169074	4.1401989661331725e-05
112	10C	Bacteria|p_Entotheonellaeota	OB-BPD/DS 	MAMLI	0	169074	0.0
113	10C	Bacteria|p_Fibrobacteres	OB-BPD/DS 	MAMLI	0	169074	0.0
114	10C	Bacteria|p_Fibrobacterota	OB-BPD/DS 	MAMLI	50	169074	0.0002957284975809409
115	10C	Bacteria|p_Firmicutes	OB-BPD/DS 	MAMLI	98345	169074	0.5816683818919527
116	10C	Bacteria|p_Fusobacteria	OB-BPD/DS 	MAMLI	578	169074	0.0034186214320356765
117	10C	Bacteria|p_Fusobacteriota	OB-BPD/DS 	MAMLI	1858	169074	0.010989270970107764
118	10C	Bacteria|p_Gemmatimonadota	OB-BPD/DS 	MAMLI	0	169074	0.0
119	10C	Bacteria|p_Latescibacterota	OB-BPD/DS 	MAMLI	0	169074	0.0
120	10C	Bacteria|p_Methylomirabilota	OB-BPD/DS 	MAMLI	0	169074	0.0
121	10C	Bacteria|p_Myxococcota	OB-BPD/DS 	MAMLI	0	169074	0.0
122	10C	Bacteria|p_NB1-j	OB-BPD/DS 	MAMLI	0	169074	0.0
123	10C	Bacteria|p_Nitrospirota	OB-BPD/DS 	MAMLI	0	169074	0.0
124	10C	Bacteria|p_Patescibacteria	OB-BPD/DS 	MAMLI	15583	169074	0.09216674355607604
125	10C	Bacteria|p_Planctomycetota	OB-BPD/DS 	MAMLI	0	169074	0.0
126	10C	Bacteria|p_Proteobacteria	OB-BPD/DS 	MAMLI	2563	169074	0.01515904278599903
127	10C	Bacteria|p_Spirochaetota	OB-BPD/DS 	MAMLI	416	169074	0.0024604610998734283
128	10C	Bacteria|p_Synergistota	OB-BPD/DS 	MAMLI	15	169074	8.871854927428227e-05
129	10C	Bacteria|p_Tenericutes	OB-BPD/DS 	MAMLI	0	169074	0.0
130	10C	Bacteria|p_Verrucomicrobia	OB-BPD/DS 	MAMLI	0	169074	0.0
131	10C	Bacteria|p_Verrucomicrobiota	OB-BPD/DS 	MAMLI	39	169074	0.00023066822811313389
132	10C	Bacteria|p_WPS-2	OB-BPD/DS 	MAMLI	0	169074	0.0
133	10C	Eukaryota	OB-BPD/DS 	MAMLI	0	169074	0.0
135	10D	Archaea|p_Crenarchaeota	OB-BPD/DS 	MAM-D	0	174787	0.0
136	10D	Archaea|p_Euryarchaeota	OB-BPD/DS 	MAM-D	0	174787	0.0
137	10D	Archaea|p_Halobacterota	OB-BPD/DS 	MAM-D	0	174787	0.0
138	10D	Archaea|p_Thermoplasmatota	OB-BPD/DS 	MAM-D	0	174787	0.0
139	10D	Bacteria	OB-BPD/DS 	MAM-D	7	174787	4.00487450439678e-05
140	10D	Bacteria|p_Acidobacteriota	OB-BPD/DS 	MAM-D	0	174787	0.0
141	10D	Bacteria|p_Actinobacteria	OB-BPD/DS 	MAM-D	582	174787	0.003329767087941323
142	10D	Bacteria|p_Actinobacteriota	OB-BPD/DS 	MAM-D	2039	174787	0.01166562730637862
143	10D	Bacteria|p_Bacteroidetes	OB-BPD/DS 	MAM-D	0	174787	0.0
144	10D	Bacteria|p_Bacteroidota	OB-BPD/DS 	MAM-D	84	174787	0.00048058494052761363
145	10D	Bacteria|p_Bdellovibrionota	OB-BPD/DS 	MAM-D	0	174787	0.0
146	10D	Bacteria|p_Caldatribacteriota	OB-BPD/DS 	MAM-D	0	174787	0.0
147	10D	Bacteria|p_Caldisericota	OB-BPD/DS 	MAM-D	0	174787	0.0
148	10D	Bacteria|p_Campylobacterota	OB-BPD/DS 	MAM-D	7346	174787	0.04202829729899821
149	10D	Bacteria|p_Chloroflexi	OB-BPD/DS 	MAM-D	0	174787	0.0
150	10D	Bacteria|p_Cloacimonadota	OB-BPD/DS 	MAM-D	0	174787	0.0
151	10D	Bacteria|p_Cyanobacteria	OB-BPD/DS 	MAM-D	0	174787	0.0
152	10D	Bacteria|p_Dadabacteria	OB-BPD/DS 	MAM-D	0	174787	0.0
153	10D	Bacteria|p_Deferribacterota	OB-BPD/DS 	MAM-D	0	174787	0.0
154	10D	Bacteria|p_Deinococcota	OB-BPD/DS 	MAM-D	0	174787	0.0
155	10D	Bacteria|p_Desulfobacterota	OB-BPD/DS 	MAM-D	0	174787	0.0
156	10D	Bacteria|p_Elusimicrobiota	OB-BPD/DS 	MAM-D	0	174787	0.0
157	10D	Bacteria|p_Entotheonellaeota	OB-BPD/DS 	MAM-D	0	174787	0.0
158	10D	Bacteria|p_Fibrobacteres	OB-BPD/DS 	MAM-D	0	174787	0.0
159	10D	Bacteria|p_Fibrobacterota	OB-BPD/DS 	MAM-D	0	174787	0.0
160	10D	Bacteria|p_Firmicutes	OB-BPD/DS 	MAM-D	118405	174787	0.6774245224187153
161	10D	Bacteria|p_Fusobacteria	OB-BPD/DS 	MAM-D	4431	174787	0.025350855612831617
162	10D	Bacteria|p_Fusobacteriota	OB-BPD/DS 	MAM-D	116	174787	0.0006636649178714664
