Taxonomy	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	CN/SD 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	OB-BPD/DS 	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 	VFGM-BPD/DS 
	29A	29C	29D1	30A	30B	30C	30D	30F	31A	31B	31C	31D	31F	32A	32B	32C	32D1	32F	33A	33B	33C	33D	33F	34A	34B	34C	34D	35A	35B	35C	35D	10A	10B	10C	10D	10F	3A	3B	3C	3D	3F	4A	4B	4C	4D	4F	6A	6B	6C	6D	6F	7A	7B	7C	7D	22A	22B	22C	22D	22F	23A	23B	23C	23D	23F	24A1	24B	24D	24F	25A	25B	25C	25F	26A	26B	26C	26D	26F	27A	27B	27C	27D	28A	28B	28C	28D	28F	11A	11B	11C	11D	11F	12A	12B	12C	12D	12F	13A	13C	13D	13F	14A	14B	14C	14D	14F	15A	15B	15C	15D	16A	16B	16C	16D	16F	18A	18B	18C	18D	18F	19A	19B	19C	19D	20A	20B	20C	20D	20F	21A	21B	21C	21F
k__?|p__?|c__?|o__?|f__?|g__?|s__	0.012093018360548765	0.0028941902773946043	0.14898418936584804	0.0022518441827358614	0.0031208341514327937	0.0427000183559972	0.030321243851130126	2.150237063636266e-05	0.032392964507995115	0.07264748384903094	0.02339882059853048	0.07417620295050324	1.0543351626048405e-05	0.002360912603885448	0.00047448471481382993	0.0011030723810141778	0.06140300002636227	1.654871113121473e-05	0.12043653582123437	0.007017199118842498	0.003392341467080332	0.2682565110196113	0.0	0.006568135905460712	0.01066623166823652	0.009890275063880957	0.23735724444390188	0.008889190892131306	0.052509189108093914	0.00442120250285023	0.15237431586893718	0.011087582125210403	0.007515727355391838	0.0019104060943728781	0.039665421341404106	0.0	0.028725181706539326	0.0057631754048630725	0.0	0.03832670802026909	0.0009313861154280119	0.0002675628237510167	0.0014012049350741324	0.0007336914318764828	0.0024660259938190593	0.0001312321606281646	6.0762877932441805e-05	0.0007396293400393061	0.00018765246762994934	0.00010444851185739296	6.926499187468364e-05	0.004872841046022451	0.013882699576913196	0.023028897887891375	0.268982335097841	0.26083022089424823	0.008195452246524158	0.004799031052777915	0.10684659602404718	0.0	0.10492463199845728	0.0016081508423904246	0.002779568946987905	0.12192629279605577	5.405376187155745e-06	0.009444357842794713	0.002097948567034678	0.12229587333609525	1.3420386909754608e-05	0.34739995193237705	0.031489431629110776	0.009164643485026814	0.0003984635246489536	0.08954300362414921	0.005213272571624829	0.0004609761719221609	0.05932688042159499	5.509338328466751e-06	0.006873162105431902	0.0019080013818394408	0.0005237173017648183	0.3517112109362376	0.013663204839675428	0.008280447896954425	0.009655195256864629	0.03281672072673418	0.0	0.025375450381030323	0.0006107776071478431	0.0033987811267683315	0.02852765212315774	0.0	0.000585150676299147	0.0002723659709291015	0.0029714719703802157	0.0008090402366180017	1.8598538154901024e-05	7.819831091648421e-05	0.00033331349324444974	0.14565614868019708	0.0	0.0	1.0611937368345652e-05	5.527518752107367e-06	0.0	1.121239642548802e-05	2.0853535195554028e-05	5.060882415457959e-06	0.0	0.0	0.00997687054849842	0.0017337626459885305	0.0005844088458744559	0.3011086527252397	6.506912115278821e-05	3.969671708149736e-05	1.4317314644465285e-05	0.00019306805246624325	0.0	0.0	0.0460909544811517	0.00012759306319046454	0.07625717807355316	0.08359223837691415	0.00343967922760863	0.008965432743273261	0.0005508630187293427	0.00626171843156436	0.0	0.02356020942408377	0.00034236552489604787	0.00046684562415592645	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter smithii	0.0	0.0	0.0	0.0	1.550083187797745e-05	0.0	0.00010017451454903015	0.0	0.0	0.00019657429445766746	0.0	0.0	0.008724623470555054	4.2348208141443014e-05	2.085647098082769e-05	0.002389990158864052	0.0	0.0016162574538153053	0.0	0.0	0.00014492598039741924	0.0	2.7239643487546035e-05	0.0	0.0	0.0	6.103925434446893e-06	0.0	0.0	2.1410181611865524e-05	0.0	0.0	0.0	5.914569951618818e-06	0.0	6.816463618674632e-05	0.0	0.0	0.0	0.0	5.322206373874354e-06	0.0	0.0	0.0	4.2335210194318616e-05	8.748810708544308e-05	2.025429264414727e-05	4.7547600431098244e-05	0.0012921212771090796	1.4921215979627566e-05	0.0028931454298425554	0.0	0.0003774752150822319	0.0	0.00017248557663712604	0.0	0.0	1.904377401895998e-05	0.0	0.0007125504255665337	0.0	0.0027737903791566383	0.0005129257283545343	0.002139451828641701	0.0014270193134091167	0.0124652622865344	0.00021833853865066782	0.0	0.00028182812510484676	0.0	0.0	0.0004235138848534691	0.00012750832788766515	0.0	0.0	0.00018658559339706512	0.0	0.0010577929590656163	0.0	5.314767080332705e-06	5.4553885600501896e-06	0.0	0.00013936778642660995	0.0	1.6561226855685468e-05	0.0	0.0	0.0	0.0010644981153148123	0.000875548079309489	0.00015808161875577605	0.0004197885792064724	0.0	8.337733803952085e-05	4.746760336070632e-05	0.0	6.199512718300341e-06	4.398654989052237e-05	7.142431998095352e-05	0.0	0.001105039836380842	0.0	0.0	0.02957222532377441	0.0	0.0015248859138663707	0.0	0.00012146117797099102	1.0416558160852491e-05	0.0	0.0	0.004366795587478804	0.0007864941477188939	0.0	0.0012067364286517087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022105143163017997	0.0003196232707049291	0.0028934219165581633	0.00023436863128719327	0.0024377002008795267	0.0003193831342892014	0.0004693720905832915	0.0003056727301020947	0.01603944230122777
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__uncultured archaeon	0.0020365527004057317	0.0011191563123018702	0.0025323324590756984	0.0020059531512876924	0.00027901497380359414	0.00045641938988634165	0.0019560392051415887	0.03347919108081666	0.0	0.0078045307718463105	0.0008987417615338526	0.0	0.0027992598567158516	0.008347890529881954	9.906823715893153e-05	0.0054612897295309775	0.015385020958004904	0.006746357904491872	0.0025567291164419843	8.273779358988945e-05	0.02004809395497633	0.002671989787617486	0.006221534572555514	0.0006541968033327402	0.00018417272244118313	6.513352372363345e-05	0.0024110505466065227	0.00021002952768065628	5.000875153151801e-05	0.0010062785357576795	0.0009073356270777985	0.0	0.0	0.0005382258655973124	0.0	0.0027017983070383085	0.0	0.0	0.0023407629475147725	0.0	0.0038639218274327805	0.0	0.0	2.1421647646028695e-05	0.0	0.008666790608151705	0.0	0.0	0.0	0.0	5.328076298052588e-06	7.927615584635224e-05	0.0	0.0	0.0	0.0017586170099242343	0.0001806302447281773	0.0005560782013536315	0.00047866010302170656	0.00016831899816532292	0.0	0.0001672908594432992	0.0002540203607089122	0.0029424481842736253	0.007940497618931789	0.0042249660013868205	0.007034298136528038	0.0	0.0316050111724721	9.96523890194791e-05	0.0	0.0042893092291554835	0.0035383560988827083	0.0	2.0504513556046524e-05	0.0073591553160430685	1.0689528003890988e-05	0.04098396782546416	0.0007113622587254592	0.0	0.0005837265759253702	0.0	0.0	2.613777745250766e-05	8.832654323032251e-05	0.0	0.00023312803608605136	5.314230446289073e-05	8.72539438782633e-05	0.0040744009045032125	6.48539974382671e-05	0.02689191080128735	0.0	0.014062977682665852	0.004860682584136327	5.253508029987024e-06	0.002126432862377017	0.0025561072880825775	0.0001904648532825427	0.0012654747930512342	0.0007326230959430996	0.0	0.0	0.02445374295932299	0.0	0.002847948692073957	0.0	0.000126522060386449	5.208279080426246e-06	0.0	0.0	0.004732600453445615	0.0025397206853422613	0.0	0.006240720256017415	0.0	0.0	4.022251093046734e-06	3.1756449205559494e-05	5.21256854527637e-06	0.0	3.721464343055216e-05	0.0	0.0	0.0	0.00018111985339945984	0.00023926373540769427	0.0	0.00029860470166675714	5.703270255164311e-06	0.000657120926816608	0.016389616019474133	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0.003652112594526041	4.164302557402308e-05	0.0	0.0008217937103662483	0.0006148663311597723	0.0	0.00029525120077608885	0.00012901422381817596	0.00011344240992930475	0.001976368582114927	0.00011037179527608716	0.013961554928269245	0.0023775257916739154	0.0002964374569901011	0.00014599529686579383	1.0814435107982135e-05	0.002804945561911792	5.5162370437382434e-05	0.06909655030756424	0.007529139216679939	2.147051561443248e-05	9.386380986946673e-05	6.537514437011049e-05	0.0018212839004783487	0.0032782744594530597	1.5030813166992335e-05	0.0	0.0019829258348673727	0.0042307403795664245	0.0	0.0	3.257859586251833e-05	0.0	0.0	0.0005664036799075446	6.196785107886029e-06	0.1124182386456472	0.013365327688914271	0.00010862009037191519	0.09183339157784379	0.006647435760969067	0.0068710133139261095	0.006601344549717483	0.004418214826993418	0.0041170991913974855	0.00033354840826325174	0.010704393662431831	0.006492888992202193	0.0018014636892475136	0.007321343307337259	0.001486533287156672	5.285077056423483e-06	4.718440188527899e-05	0.00044186372922590673	0.0006780467495390471	0.0008579660655212891	0.002921049100461381	0.00438768553396838	0.0034735792797263294	9.538076562701632e-05	2.8122388635341003e-05	0.005002536345288334	0.0017830275318990953	0.0024763733764592913	0.0003729709569137464	0.0012470637561345325	0.0008448752147786712	0.0	0.00014762425600730068	0.0027316478401810157	0.00023108682702380708	0.0009356702107227806	0.0071829691376718045	0.0010901912254338666	2.5630641945058156e-05	2.7439057852509576e-05	0.00010689528003890988	9.916808991240152e-05	0.009262738143544889	0.04538279609896096	0.00018548321104170645	0.00032963836732055715	1.5485309602956663e-05	0.0011448346524198353	8.280613427842735e-05	0.0	0.0007319136016655101	0.0006164507317695325	0.00029666340918609523	0.0018751895871825276	0.0032508066215931383	0.0005978807037183092	0.00014628766907478675	0.0003613017981712571	0.00040822138890207434	0.007086982332452496	0.00014258879252090787	0.007863817641538942	0.0021427295994286056	0.0022473086842116747	0.0001709453890533899	0.00022914500966880164	0.00038202974526044346	0.00045325653767280404	0.00016294092603007574	0.00019621693744604034	0.0012981325659232382	0.002829033270240999	0.003098926052853616	0.01717941882164756	0.0037631250458917687	6.477794501495608e-05	0.00015839118252672168	0.023743249351699854	0.00018929198880811117	0.0019583713760205363	0.005855781689586301	0.00335053516050793	0.006467730154865617	0.0013500552532265799	0.0	0.0013663090516645578	0.00015287744006726607	0.005450826469124883	0.005868271189464867	0.05084140826013073	0.0004284490145672665	0.0011973180076628352	0.00018459199739399534	0.02641754782192109	0.22178659583749785	0.004740706159583396	0.0015207056074018344
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.00025785809384982133	0.0	0.00018088088993397847	0.0007894396272809628	0.0012659012700348253	0.0	0.00038488102958311585	0.0003332867448636212	2.5782365893023807e-05	0.00024438966337980277	1.576739932515531e-05	0.0016690008490134753	0.0014918842550858493	0.0006299295961039649	0.00011471059039455229	5.407217553991067e-05	0.0012390267049798328	0.00013238968904971785	0.004913460395022756	0.0009463135141843605	0.00015566123820463549	6.257587324631115e-06	0.00028329229227047874	0.0003611166354396726	0.0005156836228353128	9.0184879001954e-05	2.441570173778757e-05	0.0011551624022436095	0.003145550471332483	0.0	8.710422019946867e-05	0.0006081337894336754	6.185783831598221e-06	0.00021883908820989625	0.0024486946969740314	0.0004895460235229963	0.03588802976877546	0.004610540323890458	0.0003638773027459159	0.017074742268041235	0.00888808464437017	0.0002675628237510167	0.0003237441005225432	0.00012852988587617217	0.0002910545700859405	3.8276046849881346e-05	0.0012405754244540202	0.004020413769785085	0.0010562153178028577	0.004023754575839567	0.0006819937661507313	5.285077056423483e-06	0.00029359183395284705	0.0	0.0010170701243085707	0.001015900117383417	0.0005315690059143502	0.0009217186625176631	0.0017038543116735978	0.00010099139889919376	0.00045397570225621907	0.0010253310740073176	0.0039177755632413	0.0	0.0007459419138274928	0.000553653305525245	0.0003987051575360021	0.0	0.0004495829614767794	0.00033412859847707703	0.0	9.356702107227806e-05	0.0007491114263400328	0.0016107329817221093	0.00022042352072750013	0.00015365872397405362	5.344764001945494e-06	0.0008484381025838797	0.0019286934479528298	0.0026573835401663523	0.0001527508796814053	0.0	3.0970619205913326e-05	5.7503110395516847e-05	5.520408951895157e-06	0.0024144512468580845	7.590215128383067e-05	1.5942691338867217e-05	0.002303504118386151	0.0031023357140887407	0.008564781036691149	0.0012466448715828574	2.2505795242274886e-05	0.0001222867624579639	0.0003987278682299331	0.0031783723581421492	9.299269077450512e-05	0.00111921332499218	0.0006844830664841378	1.745482473174116e-05	0.0002625232760462774	4.471122139879056e-05	0.00010081340499928369	0.00027637593760536833	9.461086027552785e-05	0.00025227891957348044	9.905429217888162e-05	0.0004706620646375902	1.5624837241278735e-05	0.0007304718741668888	0.001523606725897643	0.0006630213195648446	0.0001474676526972926	0.00040444412723336426	0.0004732299720202779	0.0021965516785095204	0.0414056739517936	0.0011584083147974595	0.007854428436841716	0.0003648797981693459	0.000535699425813431	0.0007815075120415953	0.0017963099207903763	0.0010890596495107523	0.008158086467786463	0.01249194283005098	0.0019308027020109282	0.0009986141680932584	0.0016233237417883706	0.01055675324230914	0.012662002396558675	0.0008614413302877214	0.0018088393014358663
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium animalis	0.00043151762644255817	4.6848403770775965e-05	4.110929316681329e-06	0.0	2.5834719796629087e-05	0.0001389102490958431	0.0	1.6126777977271995e-05	0.0	0.0008022356341380483	0.0001576739932515531	0.0011029918654349923	0.00014233524695165346	0.004308930178391826	0.0001199247081397592	0.0002325103548216159	0.00017926343816729496	0.00028132808923065044	0.0	5.17111209936809e-06	1.610288671082436e-05	0.0	0.0	0.000465788123972911	0.0	0.0	0.0	0.0005188964801522097	0.0004100717625584477	0.0	0.0	0.00018461204322093718	0.0	8.871854927428227e-05	0.0010469886204351583	9.295177661829043e-05	0.03079655719473565	0.028595828508856953	0.0011622349669794926	0.009719552682159707	0.019894407425542333	6.421507770024402e-05	0.00012646253926661843	0.00012852988587617217	0.00036514118792599804	0.0005139926291269781	5.063573161036818e-06	1.0566133429132943e-05	0.0	1.4921215979627566e-05	5.328076298052588e-06	0.00010570154112846965	0.13281884859573978	0.013718569193260798	0.10322964372806756	0.0	0.00013418246751236026	0.00017520272097443183	0.0010056253540547781	5.610633272177431e-06	0.0	0.00024284157015962786	0.0005178107352912441	0.0	1.6216128561467236e-05	0.0005805296795798685	1.8985959882666768e-05	0.0	2.6840773819509216e-05	0.0005041238503338356	0.0	4.924580056435687e-05	0.00022845242079873342	0.0	9.739643939122099e-05	5.487811570501915e-05	8.55162240311279e-05	0.00013222411988320204	6.0115120455672614e-05	0.0	3.273233136030114e-05	0.0	0.0	2.0910221962006126e-05	5.520408951895157e-06	0.0022945109041415924	3.7951075641915335e-05	0.0003347965181162116	0.002774675415328773	0.004839643713978436	0.018300987402111	0.0014056556970398545	1.6879346431706163e-05	0.00020566410049748478	0.004224616699102862	0.0001576052408996107	0.001308097183561372	0.00018083359399436973	0.0005713945598476281	0.004311341708740067	4.273634726334748e-05	0.0013916367660373563	0.000334276027102888	0.005367220708296253	0.001818630980851813	0.010393891486427394	2.6066918994442534e-05	0.0051317347692743705	4.687451172383621e-05	0.00028792322047454014	0.0008535869006534988	0.00011812448796844933	0.00015839118252672168	0.00044013037375395525	0.0005442144678233196	0.0006417635928175407	0.003114015935171199	0.0007964057164232534	0.004572928685600567	0.003560184316423761	0.0	0.0083679783942413	0.0029142262012822593	0.0006081043728232628	0.0	0.004693135024850709	1.1128545832916013e-05	5.094970245373767e-06	4.343341115152831e-05	0.0005703270255164311	0.016604727957458324	0.000583557030194908	9.60445646780106e-05
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0.005451856841396222	0.00011451832032856347	0.0014799345540052785	0.0019218325352659505	0.003678864099039982	0.0	0.0008013961163922412	0.0005106813026136131	9.797299039349047e-05	0.0020826249574974498	5.2557997750517696e-05	0.006596181616318474	0.0005851560152456864	0.01067704197766132	0.0036394541861544316	9.192269841784814e-05	0.006838372920675928	7.72273186123354e-05	0.07298840012540404	0.03302789297866399	0.00012882309368659488	0.007828241743113525	3.2687572185055244e-05	0.0021928676847713453	0.01873299691116034	0.0006613557793476627	0.0064823688113826005	0.001000728926007833	0.017513064786337608	5.352545402966381e-06	0.0	0.017559863169897376	0.0019423361231218413	0.0005618841454037877	0.0065851579350867055	0.0007931884938094117	0.025705084620695835	0.007712176541780402	0.00013034410844629823	0.0030359951074611217	0.014886211227726567	0.0	0.0	5.355411911507174e-06	0.0	3.280804015704115e-05	0.0	4.7547600431098244e-05	5.361499075141409e-06	2.4868693299379278e-05	3.729653408636812e-05	0.0	0.001693395756549457	0.00045745891966917404	0.0022542080532920953	0.0052886564934372	0.00021159542953872197	0.005515076955890811	0.0031003122269112372	0.0	0.00036960853635019603	0.002066851586025277	0.00037614553412665847	0.014526934070068451	0.0002702688093577873	0.0083101748576896	0.0027719501428693483	0.006232325233712197	0.00016775483637193261	0.006500852907211902	4.1082102582010144e-05	3.93966404514855e-05	0.00045690484159746685	0.012178712788630582	0.00013840546650331403	2.195124628200766e-05	0.00018706674006809229	0.0004407470662773401	0.030849075980502662	0.0377348462703622	3.8187719920351325e-05	0.0	0.0	0.0005070728825786485	4.968368056705641e-05	0.007889988631741429	0.00015722588480222068	0.00024445460052929737	0.005147982688817535	0.001868295507817886	0.02008041895682345	0.0004452303112795919	0.0	0.0001389622300658681	0.00027531209949209663	0.0015970664411160552	0.00012399025436600684	0.0006793478260869565	0.0008689958931016011	0.00013527489167099402	2.4420769864769987e-05	8.942244279758113e-05	0.0	0.00019346315632375784	4.204927123356793e-05	0.00010091156782939217	1.5640151396665518e-05	0.00019231353178740244	0.0	7.464676086376966e-05	0.03245465893237389	6.858841236877703e-05	8.192647372071812e-05	0.011181690576451835	9.464599440405559e-05	6.616119513582893e-06	7.158657322232642e-06	0.0	5.292741534259916e-06	5.21256854527637e-06	0.035579803611550304	0.012759306319046454	0.0004872968402144106	0.008480291890098956	0.00014868930378711655	0.005641350727941999	0.00010015691249624411	0.0	6.515011672729248e-05	0.0014942568068530494	0.012170542207594993	0.0005946724021986206	0.00011738780127312406
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	9.998579149278787e-05	4.6848403770775965e-05	0.00188691655635673	0.0	3.6168607715280723e-05	1.984432129940616e-05	6.326811445201905e-05	0.0	0.0	3.7189731383883035e-05	0.00016292979302660486	0.0	0.0	0.0	1.5642353235620767e-05	5.407217553991068e-06	4.745208657369573e-05	0.0	0.0005459400438914174	0.0	0.0	0.010512746705380273	0.0	1.5700723279985765e-05	0.0	0.0	0.001141434056241569	0.00014207879813691454	0.0005050883904683319	0.0	0.0009944398472772672	0.0	0.0005938352478334293	5.914569951618818e-06	8.00974900879356e-05	0.0	1.054135108496856e-05	5.2392503680573385e-06	0.0	1.0920845710291804e-05	0.0	0.0	0.0	0.0	1.0583802548579654e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5728133961759663e-05	4.678557132980189e-05	0.0	0.01960516487034468	0.00017030851645799574	4.9513812449295955e-05	0.005159868083032158	0.0	0.0025551198817252685	5.396479336880619e-06	1.465502081012955e-05	0.05465990577427379	0.0	0.0	5.6957879648000305e-05	0.0	0.0	0.001676504897621825	0.0	0.0	1.0625693990638764e-05	0.0	0.0	0.0	0.0	0.0	1.0019186742612102e-05	0.0	0.0	1.939049219532689e-05	0.0	0.0	7.176531637463703e-05	5.214797509412709e-05	0.0	0.00037731036168652416	1.163385918376844e-05	0.0	0.0002715761142727435	0.0	0.0	0.0	0.0	1.0507016059974048e-05	0.0	0.0	0.0	0.004533890724069767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.060882415457959e-06	0.0	0.0	0.0	0.0	5.461764914714541e-05	0.0509242737848833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006306194402774726	0.047172314666371826	0.0	0.0002024280714464551	0.0	0.0	0.0	0.0	0.0	2.7788430009281335e-05	0.0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.0	0.0038780067565808993	0.0019773570013237192	0.0006600232949398214	0.0005425291157292108	0.0001885210523443585	0.001275906974782384	0.003010331889090772	0.00017016361489395713	0.006162869772186331	0.0004835335793047628	0.00023946533920628124	0.029473939470618316	0.0022656291355672015	0.00019292235657265613	0.00592631043917421	0.002061529538923892	0.0014066404461532522	1.6216040907665864e-05	5.17111209936809e-06	0.0014975684641066655	6.257587324631115e-06	0.0019884939745908607	0.00015177365837319574	3.157246670420282e-05	3.006162633398467e-05	0.0	0.0003891723601141572	0.00018503238066661665	0.0016967568927403426	0.0002032431804654269	2.171906390834555e-05	0.0007484798436233847	0.00065060269467807	2.28849971679816e-05	0.0005701042299255146	0.00044273674556867955	0.0003143550220834403	0.0017922314911366006	2.730211427572951e-05	0.0008941306708108914	0.0	3.0351009423988426e-05	4.284329529205739e-05	2.1167605097159308e-05	0.0007819249570761474	3.0381438966220902e-05	0.0007396293400393061	0.004530466718494491	0.0008057456628998886	0.0166768788129046	0.0007399107878992876	0.011250858493978746	0.00044186372922590673	0.0031999048355439244	0.0017458115462597374	0.0008928294953707049	0.0016682346040608944	0.0022703419565341496	0.006368068763921384	8.034968181526001e-05	0.0006421810410887936	0.0008939562694179026	0.0	0.004735109539948433	0.0014459489241387465	0.0022688222059786788	1.8012500675468776e-05	0.002153972099015615	0.003804376498449526	0.0	6.894412079009963e-05	0.003814624142639316	0.0008741172888613886	0.0001640361084483722	0.0008560986049982988	0.0006360269162315138	0.0020604925348465647	3.506715359914236e-05	2.125906832133082e-05	0.00229671858378113	0.0	5.1617698676522206e-05	8.886844333852604e-05	0.0004305918982478222	0.0	0.0005584229701596114	7.439922624804702e-05	0.0001163385918376844	0.008576234729614208	0.006542146991585194	0.00830672552187353	0.00022505795242274885	0.0015230260415219144	0.0024588218540845873	0.0003729990701290787	0.002988165130220765	0.0042080466061933065	0.0010713647997143028	0.001741118766991181	0.005360358985317012	0.0009557023573991483	0.0002971342463136783	0.0022054799820908394	0.00029960105753917154	0.0018612578066310112	0.00011469444357554714	0.0032592082755549256	0.0005364527452839033	0.0006558251133031191	0.0007067332403260151	0.006466363099434146	0.005620156097241262	2.3790831013727308e-05	0.006258466379968176	0.0015415558466648142	0.0003650915234338647	0.0023851948981767138	0.0012808434512908997	0.004102291445132504	0.015452067903802946	0.0009463152186626121	0.005197832962287046	0.009237658245342473	0.005853402259086156	0.002940534090485348	0.0018918527915957222	0.0016456753892557267	0.002063087029697595	0.0021387263456866166	0.0009773983533322658	0.005324263189778304	0.03194548937373608
